Timestamp,SampleNr,AccX [mg],AccY [mg],AccZ [mg],GyrX [rad/s],GyrY [rad/s],GyrZ [rad/s],MagX [mGs],MagY [mGs],-MagZ [mGs],Battery [mV],Temperature [0.1C],Pressure[Pa]
12:55:37.467,34055,139.6484375,194.3359375,-981.4453125,-0.004886921905584123,0.039095375244672985,-0.024434609527920613,-1847,-449,-23,4100,314,100604
12:55:37.477,34056,136.71875,182.6171875,-978.515625,-0.006108652381980153,0.029321531433504737,-0.021991148575128554,-1861,-451,-21,4100,314,100604
12:55:37.487,34057,135.7421875,197.265625,-975.5859375,-0.024434609527920613,0.021991148575128554,-0.02809980095710871,-1851,-448,-18,4100,314,100604
12:55:37.507,34058,139.6484375,211.9140625,-990.234375,0.013439035240356337,0.014660765716752368,-0.03420845333908886,-1847,-446,-14,4100,314,100604
12:55:37.527,34059,129.8828125,190.4296875,-983.3984375,0.05497787143782139,0.009773843811168246,-0.012217304763960306,-1849,-445,-17,4100,314,100604
12:55:37.548,34060,140.625,170.8984375,-973.6328125,0.004886921905584123,0.023212879051524585,0.0024434609527920616,-1850,-449,-18,4100,314,100604
12:55:37.579,34061,140.625,191.40625,-985.3515625,-0.06841690667817772,0.026878070480712675,-0.0158824961931484,-1853,-453,-18,4100,314,100604
12:55:37.599,34062,132.8125,213.8671875,-997.0703125,-0.010995574287564277,0.013439035240356337,-0.03543018381548489,-1855,-453,-13,4100,314,100604
12:55:37.620,34063,128.90625,190.4296875,-988.28125,0.07330382858376185,-0.0024434609527920616,-0.019547687622336492,-1853,-454,-12,4100,314,100604
12:55:37.640,34064,130.859375,174.8046875,-985.3515625,0.0012217304763960308,0.009773843811168246,0.0024434609527920616,-1858,-453,-12,4100,314,100604
12:55:37.661,34065,124.0234375,191.40625,-994.140625,-0.025656340004316647,0.0158824961931484,-0.0158824961931484,-1847,-449,-19,4100,314,100604
12:55:37.671,34066,130.859375,197.265625,-1005.859375,0.04031710572106901,0.006108652381980153,-0.02809980095710871,-1851,-455,-12,4100,314,100604
12:55:37.691,34067,132.8125,175.78125,-996.09375,0.07086036763096978,0.0012217304763960308,-0.007330382858376184,-1852,-458,-16,4100,314,100604
12:55:37.732,34068,124.0234375,160.15625,-995.1171875,0.0,0.008552113334772215,-0.0024434609527920616,-1846,-455,-9,4100,314,100604
12:55:37.743,34069,126.953125,175.78125,-1006.8359375,-0.0476474885794452,0.01832595714594046,0.0024434609527920616,-1845,-458,-9,4100,314,100604
12:55:37.763,34070,135.7421875,184.5703125,-1007.8125,-0.02809980095710871,0.020769418098732523,-0.020769418098732523,-1849,-449,-10,4100,314,100604
12:55:37.784,34071,136.71875,186.5234375,-1016.6015625,0.026878070480712675,0.021991148575128554,-0.029321531433504737,-1850,-452,-19,4100,314,100604
12:55:37.804,34072,128.90625,177.734375,-1011.71875,0.07696902001294993,0.024434609527920613,-0.021991148575128554,-1852,-453,-25,4100,314,100604
12:55:37.824,34073,134.765625,169.921875,-1000.0,0.04642575810304917,0.04520402762665313,-0.024434609527920613,-1835,-443,-5,4100,314,100604
12:55:37.835,34074,139.6484375,175.78125,-996.09375,-0.003665191429188092,0.04153883619746505,-0.025656340004316647,-1854,-454,-9,4100,314,100604
12:55:37.876,34075,131.8359375,184.5703125,-990.234375,0.003665191429188092,0.039095375244672985,-0.04642575810304917,-1841,-449,-4,4100,314,100604
12:55:37.896,34076,137.6953125,177.734375,-970.703125,-0.013439035240356337,0.04153883619746505,-0.03787364476827696,-1849,-454,-4,4100,314,100604
12:55:37.906,34077,139.6484375,193.359375,-965.8203125,-0.05619960191421742,0.024434609527920613,-0.026878070480712675,-1848,-455,-7,4060,314,100604
12:55:37.927,34078,136.71875,211.9140625,-966.796875,-0.05986479334340551,0.0158824961931484,0.0012217304763960308,-1847,-456,-19,4060,314,100604
12:55:37.948,34079,133.7890625,194.3359375,-958.984375,-0.06963863715457375,0.009773843811168246,0.003665191429188092,-1834,-444,-6,4060,314,100604
12:55:37.968,34080,131.8359375,200.1953125,-968.75,-0.09285151620609834,0.0012217304763960308,0.01832595714594046,-1848,-450,-11,4060,314,100604
12:55:37.978,34081,137.6953125,205.078125,-983.3984375,-0.03543018381548489,-0.014660765716752368,0.014660765716752368,-1852,-450,-9,4060,314,100604
12:55:37.999,34082,139.6484375,186.5234375,-982.421875,0.026878070480712675,-0.020769418098732523,0.021991148575128554,-1848,-449,-14,4060,314,100604
12:55:38.19,34083,132.8125,177.734375,-980.46875,0.03543018381548489,-0.008552113334772215,0.020769418098732523,-1848,-453,-17,4060,314,100604
12:55:38.39,34084,133.7890625,177.734375,-983.3984375,0.019547687622336492,-0.0024434609527920616,0.0012217304763960308,-1855,-450,-17,4060,314,100604
12:55:38.60,34085,138.671875,178.7109375,-994.140625,-0.003665191429188092,-0.008552113334772215,0.003665191429188092,-1853,-454,-15,4060,314,100604
12:55:38.70,34086,137.6953125,177.734375,-989.2578125,-0.03543018381548489,-0.025656340004316647,-0.0012217304763960308,-1837,-446,-14,4060,314,100604
12:55:38.90,34087,129.8828125,188.4765625,-990.234375,-0.013439035240356337,-0.026878070480712675,-0.013439035240356337,-1852,-452,-17,4060,314,100604
12:55:38.110,34088,134.765625,188.4765625,-992.1875,0.058643062867009474,-0.0317649923862968,-0.0317649923862968,-1852,-449,-10,4060,314,100604
12:55:38.151,34089,133.7890625,181.640625,-983.3984375,0.06597344572538566,-0.029321531433504737,-0.01832595714594046,-1854,-449,-18,4060,314,100604
12:55:38.161,34090,130.859375,173.828125,-971.6796875,0.007330382858376184,-0.0317649923862968,-0.003665191429188092,-1854,-452,-22,4060,314,100604
12:55:38.182,34091,127.9296875,178.7109375,-958.984375,-0.003665191429188092,-0.03298672286269283,-0.009773843811168246,-1854,-453,-19,4060,314,100604
12:55:38.202,34092,124.0234375,172.8515625,-929.6875,0.006108652381980153,-0.052534410485029326,-0.0158824961931484,-1848,-452,-13,4060,314,100604
12:55:38.223,34093,124.0234375,157.2265625,-917.96875,0.0,-0.07574728953655392,-0.004886921905584123,-1845,-449,-16,4060,314,100604
12:55:38.243,34094,134.765625,141.6015625,-907.2265625,-0.02809980095710871,-0.1075122819228507,-0.003665191429188092,-1854,-452,-21,4060,314,100604
12:55:38.254,34095,129.8828125,147.4609375,-904.296875,-0.04153883619746505,-0.1429424657383356,-0.026878070480712675,-1858,-451,-8,4060,314,100604
12:55:38.274,34096,126.953125,161.1328125,-885.7421875,-0.01710422666954443,-0.16737707526625623,-0.06841690667817772,-1854,-451,-25,4060,314,100604
12:55:38.294,34097,118.1640625,151.3671875,-883.7890625,-0.0012217304763960308,-0.2162462943220974,-0.07941248096574201,-1861,-456,-9,4060,314,100604
12:55:38.315,34098,122.0703125,155.2734375,-881.8359375,-0.051312680008633295,-0.24556782575560218,-0.06597344572538566,-1863,-455,-14,4060,314,100604
12:55:38.335,34099,111.328125,180.6640625,-883.7890625,0.004886921905584123,-0.29932396671702755,-0.05742133239061345,-1868,-458,-17,4060,314,100604
12:55:38.345,34100,95.703125,172.8515625,-885.7421875,0.09651670763528641,-0.3420845333908886,-0.08429940287132612,-1867,-458,-23,4060,314,100604
12:55:38.366,34101,92.7734375,140.625,-886.71875,0.052534410485029326,-0.3677408733952052,-0.0989601685880785,-1869,-459,-25,4060,314,100604
12:55:38.386,34102,87.890625,151.3671875,-895.5078125,-0.03665191429188092,-0.40194932673429407,-0.10018189906447451,-1880,-461,-21,4060,314,100604
12:55:38.427,34103,75.1953125,185.546875,-900.390625,-0.013439035240356337,-0.4324925886441948,-0.1038470904936626,-1879,-452,-15,4060,314,100604
12:55:38.437,34104,54.6875,183.59375,-885.7421875,0.0867428638241182,-0.46670104198328377,-0.0989601685880785,-1883,-453,-27,4060,314,100604
12:55:38.457,34105,37.109375,138.671875,-862.3046875,0.04398229715025711,-0.4972443038931845,-0.08185594191853407,-1891,-457,-26,4060,314,100604
12:55:38.478,34106,43.9453125,127.9296875,-861.328125,-0.058643062867009474,-0.5338962181850655,-0.07696902001294993,-1900,-460,-16,4060,314,100604
