Timestamp,SampleNr,AccX [mg],AccY [mg],AccZ [mg],GyrX [rad/s],GyrY [rad/s],GyrZ [rad/s],MagX [mGs],MagY [mGs],-MagZ [mGs],Battery [mV],Temperature [0.1C],Pressure[Pa]
12:55:1.851,32275,131.8359375,194.3359375,-1003.90625,-0.0158824961931484,0.01832595714594046,-0.013439035240356337,-1861,-445,-9,4072,314,100608
12:55:1.891,32276,136.71875,192.3828125,-998.046875,-0.0317649923862968,0.01710422666954443,-0.013439035240356337,-1853,-444,-27,4072,314,100608
12:55:1.912,32277,131.8359375,204.1015625,-996.09375,-0.024434609527920613,0.023212879051524585,0.0012217304763960308,-1849,-445,-17,4072,314,100608
12:55:1.922,32278,133.7890625,203.125,-991.2109375,0.008552113334772215,0.03420845333908886,-0.007330382858376184,-1854,-445,-16,4072,314,100608
12:55:1.942,32279,141.6015625,190.4296875,-978.515625,-0.0158824961931484,0.026878070480712675,-0.008552113334772215,-1853,-441,-10,4072,314,100608
12:55:1.963,32280,143.5546875,201.171875,-975.5859375,-0.01710422666954443,0.024434609527920613,-0.009773843811168246,-1839,-441,-15,4072,314,100608
12:55:1.983,32281,138.671875,207.03125,-985.3515625,-0.006108652381980153,0.010995574287564277,0.0012217304763960308,-1857,-446,-10,4072,314,100608
12:55:2.4,32282,134.765625,205.078125,-980.46875,-0.003665191429188092,0.006108652381980153,0.013439035240356337,-1854,-445,-20,4072,314,100608
12:55:2.14,32283,131.8359375,196.2890625,-971.6796875,-0.006108652381980153,0.010995574287564277,0.01832595714594046,-1852,-443,-3,4072,314,100608
12:55:2.35,32284,136.71875,188.4765625,-975.5859375,-0.026878070480712675,0.009773843811168246,0.020769418098732523,-1850,-441,-18,4072,314,100608
12:55:2.55,32285,140.625,188.4765625,-979.4921875,-0.03665191429188092,0.013439035240356337,-0.007330382858376184,-1842,-432,-14,4072,314,100608
12:55:2.76,32286,141.6015625,193.359375,-981.4453125,-0.007330382858376184,-0.01710422666954443,-0.021991148575128554,-1851,-437,-18,4072,314,100608
12:55:2.86,32287,131.8359375,200.1953125,-983.3984375,0.039095375244672985,-0.020769418098732523,-0.02809980095710871,-1852,-445,-17,4072,314,100608
12:55:2.106,32288,132.8125,190.4296875,-978.515625,0.01710422666954443,-0.020769418098732523,-0.0317649923862968,-1854,-444,-9,4072,314,100608
12:55:2.127,32289,134.765625,199.21875,-984.375,-0.029321531433504737,-0.01832595714594046,-0.03054326190990077,-1858,-443,-10,4072,314,100608
12:55:2.167,32290,129.8828125,207.03125,-996.09375,-0.03054326190990077,-0.014660765716752368,-0.009773843811168246,-1852,-442,-12,4072,314,100608
