Timestamp,SampleNr,AccX [mg],AccY [mg],AccZ [mg],GyrX [rad/s],GyrY [rad/s],GyrZ [rad/s],MagX [mGs],MagY [mGs],-MagZ [mGs],Battery [mV],Temperature [0.1C],Pressure[Pa]
12:7:3.794,21216,200.1953125,139.6484375,-970.703125,-0.019547687622336492,0.020769418098732523,0.004886921905584123,-1829,-457,-17,4130,315,100603
12:7:3.804,21217,200.1953125,136.71875,-977.5390625,-0.03054326190990077,0.014660765716752368,-0.0012217304763960308,-1831,-453,-15,4130,315,100603
12:7:3.825,21218,203.125,141.6015625,-987.3046875,-0.006108652381980153,0.012217304763960306,-0.014660765716752368,-1832,-458,-14,4130,315,100603
12:7:3.835,21219,203.125,138.671875,-982.421875,0.009773843811168246,0.0,-0.03054326190990077,-1833,-458,-28,4130,315,100603
12:7:3.855,21220,203.125,132.8125,-986.328125,0.006108652381980153,0.0,-0.0317649923862968,-1831,-460,-12,4130,315,100603
12:7:3.876,21221,205.078125,130.859375,-987.3046875,-0.010995574287564277,0.008552113334772215,-0.04276056667386108,-1824,-456,-9,4130,315,100603
12:7:3.896,21222,198.2421875,149.4140625,-988.28125,0.0012217304763960308,0.007330382858376184,-0.03665191429188092,-1829,-456,-27,4130,315,100603
12:7:3.917,21223,198.2421875,142.578125,-993.1640625,0.01832595714594046,0.0024434609527920616,-0.05497787143782139,-1818,-452,-18,4130,315,100603
12:7:3.927,21224,196.2890625,136.71875,-987.3046875,-0.013439035240356337,0.012217304763960306,-0.05619960191421742,-1827,-451,-18,4130,315,100603
12:7:3.948,21225,197.265625,150.390625,-979.4921875,-0.025656340004316647,0.007330382858376184,-0.05497787143782139,-1828,-457,-20,4130,315,100603
12:7:3.968,21226,204.1015625,165.0390625,-981.4453125,0.019547687622336492,-0.0024434609527920616,-0.04642575810304917,-1828,-458,-20,4130,315,100603
12:7:3.989,21227,198.2421875,154.296875,-979.4921875,0.05009094953223726,-0.007330382858376184,-0.039095375244672985,-1817,-451,-14,4130,315,100603
12:7:3.999,21228,204.1015625,144.53125,-972.65625,0.006108652381980153,-0.003665191429188092,-0.0317649923862968,-1827,-456,-20,4130,315,100603
12:7:4.19,21229,201.171875,156.25,-971.6796875,-0.01832595714594046,-0.0024434609527920616,-0.03543018381548489,-1825,-458,-32,4130,315,100603
12:7:4.40,21230,201.171875,162.109375,-982.421875,-0.0024434609527920616,-0.009773843811168246,-0.019547687622336492,-1826,-453,-26,4130,315,100603
12:7:4.61,21231,202.1484375,160.15625,-986.328125,0.003665191429188092,-0.007330382858376184,-0.03787364476827696,-1827,-460,-22,4130,315,100603
