Timestamp,SampleNr,AccX [mg],AccY [mg],AccZ [mg],GyrX [rad/s],GyrY [rad/s],GyrZ [rad/s],MagX [mGs],MagY [mGs],-MagZ [mGs],Battery [mV],Temperature [0.1C],Pressure[Pa]
12:7:3.804,20709,221.6796875,600.5859375,-761.71875,-0.020769418098732523,-0.03420845333908886,-0.01832595714594046,-1670,-492,711,4048,332,100679
12:7:3.825,20710,221.6796875,606.4453125,-761.71875,-0.021991148575128554,-0.03420845333908886,-0.025656340004316647,-1675,-493,700,4048,332,100679
12:7:3.835,20711,217.7734375,596.6796875,-760.7421875,-0.021991148575128554,-0.0317649923862968,-0.02809980095710871,-1675,-493,700,4048,332,100679
12:7:3.876,20712,218.75,605.46875,-766.6015625,-0.03298672286269283,-0.03543018381548489,-0.025656340004316647,-1675,-493,700,4048,332,100679
12:7:3.896,20713,222.65625,597.65625,-761.71875,-0.010995574287564277,-0.04276056667386108,-0.025656340004316647,-1675,-493,700,4048,332,100679
12:7:3.907,20714,221.6796875,599.609375,-750.9765625,-0.003665191429188092,-0.03787364476827696,-0.023212879051524585,-1683,-495,700,4048,332,100679
12:7:3.927,20715,222.65625,596.6796875,-756.8359375,0.009773843811168246,-0.052534410485029326,-0.008552113334772215,-1683,-495,700,4048,332,100679
12:7:3.947,20716,220.703125,606.4453125,-753.90625,-0.01710422666954443,-0.05497787143782139,-0.02809980095710871,-1683,-495,700,4048,332,100679
12:7:3.968,20717,218.75,606.4453125,-751.953125,-0.023212879051524585,-0.05497787143782139,-0.021991148575128554,-1683,-495,700,4048,332,100679
12:7:3.989,20718,221.6796875,603.515625,-766.6015625,-0.0317649923862968,-0.05497787143782139,-0.010995574287564277,-1683,-495,700,4048,332,100679
12:7:3.999,20719,223.6328125,610.3515625,-760.7421875,-0.012217304763960306,-0.05742133239061345,-0.014660765716752368,-1677,-499,706,4048,332,100679
12:7:4.19,20720,218.75,595.703125,-767.578125,-0.010995574287564277,-0.051312680008633295,-0.0012217304763960308,-1677,-499,706,4048,332,100679
12:7:4.40,20721,222.65625,603.515625,-766.6015625,-0.006108652381980153,-0.0476474885794452,0.0024434609527920616,-1677,-499,706,4048,332,100679
12:7:4.61,20722,217.7734375,601.5625,-763.671875,0.012217304763960306,-0.048869219055841226,-0.0024434609527920616,-1677,-499,706,4048,332,100679
12:7:4.81,20723,219.7265625,606.4453125,-770.5078125,0.0158824961931484,-0.05497787143782139,0.007330382858376184,-1677,-499,706,4048,332,100679
12:7:4.92,20724,220.703125,600.5859375,-775.390625,0.0024434609527920616,-0.04642575810304917,0.013439035240356337,-1674,-491,704,4048,332,100679
12:7:4.112,20725,215.8203125,598.6328125,-760.7421875,-0.010995574287564277,-0.04642575810304917,0.004886921905584123,-1674,-491,704,4048,332,100679
12:7:4.153,20726,217.7734375,599.609375,-762.6953125,0.003665191429188092,-0.03543018381548489,0.0012217304763960308,-1674,-491,704,4048,332,100679
12:7:4.163,20727,218.75,599.609375,-765.625,-0.019547687622336492,-0.039095375244672985,0.006108652381980153,-1674,-491,704,4048,332,100679
12:7:4.183,20728,225.5859375,599.609375,-761.71875,-0.010995574287564277,-0.020769418098732523,-0.006108652381980153,-1678,-490,703,4048,332,100679
12:7:4.204,20729,220.703125,596.6796875,-762.6953125,-0.020769418098732523,-0.0317649923862968,0.007330382858376184,-1678,-490,703,4048,332,100679
